SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(17,5)-(23,52)",15.448139607906342,21,11,26,8,12,41,0
"(17,11)-(20,74)",32.35974311828613,26,11,1,46,40,3,0
"(19,7)-(20,74)",0.16411038814112544,11,18,49,20,12,16,0
"(19,25)-(19,26)",19.48016583919525,5,16,15,49,11,10,0
"(20,9)-(20,28)",3.3293932817450917e-19,35,4,10,50,1,16,0
"(20,22)-(20,27)",92.12778806686401,1,4,2,10,6,22,0
"(21,5)-(23,52)",1.7461724510781096e-06,30,36,11,20,16,49,0
"(21,16)-(21,28)",6.117943651684499e-09,5,2,1,16,7,12,0
"(21,17)-(21,23)",0.023294921265915036,4,45,1,7,31,50,4
"(23,19)-(23,33)",6.948465210775079e-16,1,4,29,10,2,24,0
"(23,19)-(23,45)",0.5551833193749189,2,1,49,30,16,14,0
"(23,34)-(23,35)",6.948465210775079e-16,1,4,29,10,2,24,0
"(23,36)-(23,40)",1.3538732634987838e-08,12,1,39,4,18,15,0
