SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(3,3)-(3,72)",0.03229573485441506,8,21,30,12,2,26,0
"(3,9)-(3,28)",6.444207147071612e-10,26,17,1,33,2,3,0
"(3,15)-(3,16)",3.6295126903951314e-06,9,2,1,34,14,4,0
"(3,15)-(3,28)",100.0,46,25,40,39,38,16,46
"(3,32)-(3,72)",1.2145672845899336e-16,30,2,3,6,28,8,0
"(3,43)-(3,44)",0.0033381220418959856,16,10,4,35,5,40,0
"(3,48)-(3,62)",2.751975947470897e-10,1,10,4,2,29,31,0
"(3,48)-(3,72)",0.008902938134269789,14,1,9,15,10,3,0
"(3,63)-(3,64)",1.5520655854617455e-13,1,10,14,2,4,17,0
"(3,65)-(3,69)",2.8579763555747206e-09,4,1,31,10,12,40,0
