SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(16,5)-(19,52)",44.326990842819214,21,11,36,8,26,12,0
"(16,11)-(16,46)",4.7559921495868296e-11,26,17,1,2,10,3,0
"(16,13)-(16,46)",5.27426071024982e-12,33,7,42,27,8,24,0
"(16,17)-(16,46)",99.9943494796753,39,18,20,46,1,49,39
"(16,41)-(16,46)",0.743582658469677,12,2,7,1,5,32,0
"(17,5)-(19,52)",9.35839947202588e-10,30,36,11,16,26,13,0
"(17,16)-(17,18)",99.98452663421631,5,16,10,35,4,1,5
"(18,16)-(18,28)",7.388169252484717e-24,1,10,29,2,4,45,0
"(18,16)-(18,37)",90.30457735061646,3,2,24,1,4,10,2
"(18,29)-(18,37)",4.5604311438296463e-07,45,1,2,3,14,8,0
"(19,19)-(19,33)",6.948465210775079e-16,1,4,29,10,2,24,0
"(19,19)-(19,45)",0.5551833193749189,2,1,49,30,16,14,0
"(19,34)-(19,35)",1.1268495369172072e-15,29,1,45,10,2,4,0
"(19,36)-(19,40)",4.055587810025685e-08,4,1,31,45,24,29,0
