SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(6,7)-(7,61)",0.00028627518986468203,30,12,2,21,14,15,0
"(6,13)-(6,32)",1.077709921304404e-06,26,17,1,3,33,2,0
"(6,19)-(6,20)",59.995877742767334,4,1,6,2,14,10,0
"(6,19)-(6,32)",1.428274530917406,1,2,17,15,6,14,0
"(6,21)-(6,22)",1.2954045388452462e-10,2,29,21,1,7,12,0
"(7,7)-(7,61)",2.991175666530732e-10,1,30,2,17,16,26,0
"(7,18)-(7,20)",94.97637748718262,1,4,10,2,7,9,4
"(7,38)-(7,52)",3.13015915453434,1,4,2,10,29,14,0
"(7,38)-(7,61)",0.00010350377124268562,6,14,1,2,30,4,0
"(7,53)-(7,54)",2.2056209397942894e-11,1,4,10,2,31,14,0
"(7,55)-(7,59)",0.00013728216572417296,1,4,14,2,6,10,0
