SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(27,3)-(28,63)",0.025782518787309527,30,8,21,12,11,36,0
"(27,9)-(27,48)",0.0007336520866374485,26,17,1,2,33,3,0
"(27,11)-(27,48)",0.005079581751488149,3,26,33,1,42,9,0
"(27,15)-(27,48)",99.85440969467163,13,30,28,8,11,46,43
"(27,23)-(27,29)",22.87173569202423,32,19,7,1,27,5,0
"(27,24)-(27,25)",8.90736205090949e-13,24,1,4,2,12,9,0
"(27,27)-(27,28)",7.436687550488319e-10,4,24,45,50,1,7,0
"(28,37)-(28,51)",2.751975947470897e-10,1,10,4,2,29,31,0
"(28,37)-(28,63)",1.6129149124026299,14,3,30,1,6,9,0
"(28,52)-(28,53)",1.1268495369172072e-15,29,1,45,10,2,4,0
