SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(2,24)-(2,77)",0.010658161045284942,8,17,1,46,14,44,0
"(2,46)-(2,48)",42.58292615413666,2,29,14,7,1,9,0
"(2,59)-(2,60)",28.891479969024658,1,43,4,28,2,21,0
"(2,59)-(2,77)",2.7888379605656155e-06,32,14,7,29,13,15,0
"(2,64)-(2,77)",29.454141855239868,2,1,43,14,3,19,0
"(2,65)-(2,71)",1.2986550328625323e-14,1,10,29,4,24,2,0
"(2,72)-(2,73)",8.061787486076355,1,29,10,24,4,2,0
"(2,74)-(2,76)",8.061787486076355,1,29,10,24,4,2,0
"(10,3)-(10,63)",5.111777223731906e-07,8,15,14,28,1,19,0
"(10,37)-(10,43)",1.3489498587430666e-12,29,2,43,1,10,7,0
"(10,37)-(10,63)",2.9274248802835245e-06,48,13,6,30,43,14,0
"(10,44)-(10,59)",0.0012218842130096164,43,2,1,17,10,29,0
"(10,45)-(10,56)",4.362718825054262e-27,29,1,21,2,43,45,0
"(10,57)-(10,58)",6.760456777721302e-10,29,21,2,43,1,7,0
"(10,60)-(10,63)",66.18350148200989,43,1,7,29,2,21,0
"(10,61)-(10,62)",1.945100625569884e-13,2,21,29,1,43,7,0
"(14,3)-(14,60)",2.405332322208409e-08,30,8,3,28,2,9,0
"(14,12)-(14,23)",3.7489220847683816e-13,1,2,4,10,29,12,0
"(14,12)-(14,25)",0.0009687621059129015,10,1,3,2,17,35,0
"(14,24)-(14,25)",0.2610636642202735,1,2,29,12,45,8,0
"(14,29)-(14,60)",1.3962838047235082e-10,14,1,2,8,30,10,0
"(14,32)-(14,33)",0.1263558748178184,1,28,22,40,2,4,0
"(14,32)-(14,39)",30.64269721508026,1,3,2,4,15,12,31
"(14,37)-(14,39)",39.837586879730225,28,2,1,29,8,43,0
