SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(28,7)-(28,76)",2.4876808946139306e-08,40,22,1,47,4,2,0
"(28,38)-(28,61)",2.9253558759522125e-16,9,4,50,25,3,28,0
"(28,67)-(28,70)",8.003662903381596e-27,4,1,12,31,35,7,0
"(28,67)-(28,76)",99.99978542327881,4,9,50,25,1,12,0
"(28,73)-(28,76)",8.003662903381596e-27,4,1,12,31,35,7,0
"(30,7)-(35,24)",0.0017941791156772524,40,22,11,26,20,37,0
"(33,9)-(34,74)",1.589736292184278e-16,28,3,9,50,40,15,0
"(35,12)-(35,18)",1.222279703666799e-21,4,35,31,1,12,50,0
"(35,12)-(35,24)",99.99996423721313,4,25,9,50,1,12,0
"(35,14)-(35,17)",9.720703037399619e-20,4,1,7,2,14,31,0
"(35,21)-(35,24)",8.003662903381596e-27,4,1,12,31,35,7,0
