SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(3,3)-(4,69)",0.00020400050289026694,8,3,30,28,1,14,0
"(3,13)-(3,14)",6.671879715369755e-09,2,10,1,33,29,17,0
"(3,13)-(3,16)",0.3652255982160568,6,2,8,1,14,43,0
"(4,3)-(4,69)",4.38664160551383e-08,6,14,28,3,8,19,0
"(4,9)-(4,12)",0.000959441877057543,15,14,1,12,2,10,0
"(4,43)-(4,49)",3.2988818924814534e-11,1,29,2,10,9,12,0
"(4,43)-(4,56)",1.943054050990156e-09,9,14,15,2,1,25,0
"(4,50)-(4,56)",2.981925888434489e-05,12,1,2,39,8,9,0
"(4,51)-(4,52)",2.3595478327274877e-11,2,1,33,8,14,27,0
"(7,3)-(9,17)",50.05229115486145,8,28,9,14,30,3,0
"(7,10)-(8,73)",0.00019328515463712392,26,11,1,33,17,28,0
"(8,5)-(8,73)",0.0008991793038148899,30,8,15,11,14,3,0
"(8,21)-(8,73)",0.2633291529491544,49,18,11,16,15,20,0
"(8,61)-(8,62)",99.98167157173157,10,14,4,35,1,7,0
"(9,3)-(9,9)",1.8234918671045677e-14,10,2,1,33,17,29,0
"(9,3)-(9,17)",3.787457014681195e-07,6,8,2,3,48,43,0
"(9,10)-(9,17)",12.67872303724289,2,12,14,8,1,15,0
"(9,11)-(9,13)",38.679781556129456,1,2,20,4,8,33,0
