SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(6,13)-(9,7)",0.034647120628505945,26,11,1,40,37,22,0
"(7,3)-(9,7)",0.015239327331073582,8,12,37,21,11,26,0
"(8,44)-(8,67)",0.01146254944615066,13,8,30,32,28,44,0
"(8,55)-(8,67)",0.0013689486877410673,24,27,28,2,22,50,0
"(8,56)-(8,58)",1.2986550328625323e-14,1,10,29,4,24,2,0
"(9,3)-(9,5)",1.9657088185919686e-11,10,1,2,33,24,29,0
"(9,3)-(9,7)",0.0030617316951975226,6,4,2,1,30,35,0
"(16,12)-(16,22)",5.857855399479719e-14,1,2,29,12,4,10,0
"(16,12)-(16,39)",24.253863096237183,3,2,1,15,9,37,0
"(16,23)-(16,39)",1.0144947992785092e-06,12,1,2,8,14,9,0
"(20,47)-(20,57)",2.0539890499549074e-05,1,10,2,17,29,26,0
"(20,47)-(20,69)",0.5833466537296772,3,4,10,1,2,14,0
"(20,58)-(20,69)",8.137939744301548e-05,1,2,17,10,26,12,0
"(20,59)-(20,66)",1.654347719807358e-20,2,1,21,29,8,33,0
