SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(5,3)-(10,12)",10.215482115745544,8,20,11,37,40,1,0
"(6,8)-(6,10)",2.9455309302761634e-07,29,21,7,2,1,32,0
"(6,8)-(6,67)",11.560269445180893,15,13,49,14,28,36,15
"(6,11)-(6,12)",3.3889985136492113e-22,29,1,2,32,21,7,0
"(6,13)-(6,67)",99.69639182090759,13,14,19,3,48,28,0
"(6,14)-(6,66)",5.311788246035576,24,3,8,4,14,48,0
"(6,62)-(6,63)",6.373160677185109e-30,1,29,2,7,4,10,0
"(6,64)-(6,66)",5.1032468451758624e-17,29,2,7,1,12,45,0
"(8,5)-(10,12)",2.6485482695903784e-07,15,11,37,13,41,20,0
"(9,10)-(9,69)",7.4317775666713715,15,3,14,13,28,9,15
"(9,58)-(9,59)",2.7911845735433483e-21,29,1,12,2,32,7,0
"(9,60)-(9,69)",0.003533538620104082,12,19,1,14,2,32,0
"(9,61)-(9,63)",0.002155408583348617,29,2,7,1,21,12,0
"(9,64)-(9,65)",4.306313584371887e-22,29,1,2,21,7,33,0
"(9,66)-(9,68)",0.002155408583348617,29,2,7,1,21,12,0
