SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(14,5)-(17,52)",40.745311975479126,21,11,36,26,8,12,0
"(14,11)-(14,56)",2.1306007624843915e-05,26,17,1,46,11,3,0
"(14,13)-(14,56)",0.0006437711363105336,26,33,3,1,11,21,0
"(14,17)-(14,56)",0.48836255446076393,11,36,18,39,20,12,0
"(14,36)-(14,56)",3.2085612389209928e-06,14,8,25,3,2,28,11
"(14,40)-(14,55)",0.0007769804142299108,14,24,4,7,1,15,0
"(14,51)-(14,52)",3.383075203236509e-19,1,10,29,4,24,2,0
"(14,53)-(14,54)",22.037701308727264,1,29,10,24,32,31,0
"(17,19)-(17,33)",6.948465210775079e-16,1,4,29,10,2,24,0
"(17,19)-(17,45)",0.5551833193749189,2,1,49,30,16,14,0
"(17,34)-(17,35)",1.1268495369172072e-15,29,1,45,10,2,4,0
