SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(16,3)-(16,69)",1.3234938478490221e-06,20,8,1,11,33,44,0
"(16,9)-(16,10)",33.63443315029144,29,1,2,7,24,9,0
"(16,36)-(16,69)",1.3434815482327167e-07,14,13,7,19,48,25,0
"(16,50)-(16,60)",2.9347746604572896e-26,29,1,2,21,43,12,0
"(16,50)-(16,62)",1.6537465841182097e-07,43,2,1,29,21,27,0
"(16,68)-(16,69)",7.814264235683765e-08,29,2,43,21,7,1,0
"(22,12)-(33,35)",3.2512605230294866e-05,26,40,11,37,8,1,0
"(22,15)-(33,35)",5.726513485626583e-07,26,11,40,37,1,22,0
"(23,3)-(33,35)",2.6388293132185936,8,11,26,12,40,37,0
"(33,3)-(33,13)",1.7221438166186772e-16,10,29,1,2,7,43,0
"(33,3)-(33,35)",6.639460252699791e-05,3,13,35,10,26,19,0
"(36,3)-(36,76)",1.282881889608234e-06,20,8,47,4,1,2,0
"(36,17)-(36,18)",99.99994039535522,7,21,27,12,29,2,21
"(36,24)-(36,76)",3.6550162008097686e-05,28,15,40,21,9,11,0
"(36,45)-(36,51)",5.934333866639286e-19,2,1,29,12,10,7,0
"(36,45)-(36,76)",87.94750571250916,3,15,14,28,12,13,0
