SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(19,5)-(22,52)",37.74704933166504,21,11,26,36,8,12,0
"(19,11)-(19,41)",0.00021020537133153994,26,1,17,11,46,3,0
"(19,17)-(19,36)",96.72273397445679,37,16,42,1,23,40,0
"(19,17)-(19,41)",0.9801886044442654,46,1,44,20,11,16,11
"(19,40)-(19,41)",0.020492520707193762,1,2,43,27,28,29,0
"(20,5)-(22,52)",6.707328581434524e-08,36,11,30,16,26,13,0
"(20,16)-(20,24)",99.95737671852112,5,1,7,2,27,10,16
"(20,17)-(20,23)",2.7963420376181602,45,4,1,50,24,31,0
"(21,16)-(21,28)",7.388169252484717e-24,1,10,29,2,4,45,0
"(21,16)-(21,37)",90.30457735061646,3,2,24,1,4,10,3
"(21,29)-(21,37)",4.5604311438296463e-07,45,1,2,3,14,8,0
"(22,19)-(22,33)",6.948465210775079e-16,1,4,29,10,2,24,0
"(22,19)-(22,45)",0.5551833193749189,2,1,49,30,16,14,0
"(22,34)-(22,35)",1.1268495369172072e-15,29,1,45,10,2,4,0
"(22,36)-(22,40)",2.3467427467949165e-05,29,45,1,43,7,2,0
