SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(15,5)-(22,52)",18.029919266700745,21,11,26,8,12,41,0
"(15,11)-(19,30)",28.01530659198761,26,11,1,40,46,37,0
"(15,13)-(19,30)",6.092583930694673e-05,26,42,8,1,9,33,0
"(16,7)-(19,30)",99.88456964492798,11,20,1,26,36,21,36
"(16,13)-(16,14)",42.58292615413666,2,29,14,7,1,9,0
"(18,11)-(19,30)",0.002139169919246342,36,15,13,28,18,11,0
"(18,43)-(18,50)",0.038517400389537215,1,2,3,10,31,4,0
"(18,44)-(18,47)",3.615878459864848e-22,1,10,2,14,4,3,0
"(18,48)-(18,49)",2.6291149162263605e-11,1,14,12,4,2,39,0
"(18,54)-(18,64)",0.5265922751277685,1,22,4,24,19,28,0
"(18,54)-(19,30)",0.003613945227698423,28,2,14,15,18,1,0
"(19,13)-(19,25)",4.727841729224025e-09,1,4,2,6,14,3,0
"(19,13)-(19,30)",0.0018208414985565469,44,19,1,24,7,14,0
"(19,29)-(19,30)",20.676515996456146,2,1,4,22,6,30,0
"(22,19)-(22,33)",6.948465210775079e-16,1,4,29,10,2,24,0
"(22,19)-(22,45)",0.5551833193749189,2,1,49,30,16,14,0
"(22,34)-(22,35)",1.1268495369172072e-15,29,1,45,10,2,4,0
