SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(16,5)-(21,52)",9.024185687303543,21,11,26,8,12,41,0
"(16,11)-(18,73)",27.26779282093048,26,11,1,46,40,3,0
"(16,13)-(18,73)",9.237260201189201e-06,42,8,26,33,1,7,0
"(17,7)-(18,73)",1.364205777645111,20,39,18,16,12,47,0
"(17,13)-(17,19)",76.81062817573547,12,2,15,9,11,1,0
"(17,17)-(17,18)",0.0023585545932292007,29,12,2,21,1,32,0
"(20,5)-(21,52)",0.10403279447928071,21,30,36,11,41,3,0
"(20,16)-(20,24)",1.1268495369172072e-15,29,1,45,10,2,4,0
"(20,16)-(20,59)",0.024205207591876388,36,3,14,28,13,41,0
"(20,25)-(20,59)",99.96022582054138,14,3,2,13,19,15,3
"(20,26)-(20,42)",2.912229346563322e-08,1,4,24,2,6,12,0
"(20,27)-(20,39)",3.872466717182313e-16,1,10,4,24,2,29,0
"(20,40)-(20,41)",1.1186896027581827e-09,1,4,10,35,3,7,0
"(21,19)-(21,33)",3.2831633234309265e-05,1,4,2,10,31,24,0
"(21,19)-(21,45)",0.5779210478067398,14,15,6,30,49,2,0
"(21,34)-(21,35)",6.948465210775079e-16,1,4,29,10,2,24,0
"(21,41)-(21,45)",8.710618164264883e-10,29,1,45,2,7,43,0
