SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(2,8)-(2,23)",79.17349338531494,33,26,8,17,1,2,0
"(2,10)-(2,23)",0.035481853410601616,33,42,26,8,1,9,0
"(2,14)-(2,23)",1.5464447500335154e-06,17,1,10,3,30,23,0
"(5,9)-(5,10)",2.498672709710936e-10,2,29,1,33,9,12,0
"(5,9)-(5,12)",0.0002500643176972517,12,2,9,25,8,6,0
"(5,42)-(5,48)",1.258556513689782e-20,1,2,12,33,9,29,0
"(5,42)-(5,56)",2.060015699689721e-09,9,12,15,2,8,28,0
"(5,49)-(5,56)",1.966236617967354e-08,12,2,1,14,9,8,0
"(5,50)-(5,51)",2.9294224455952644,1,2,33,8,7,4,0
"(7,22)-(7,28)",1.1382198582197845e-16,1,29,2,8,33,10,0
"(7,22)-(7,42)",67.00162291526794,8,2,6,14,3,24,0
"(7,29)-(7,42)",67.17411875724792,8,6,2,1,33,47,0
"(7,30)-(7,38)",99.93446469306946,33,1,2,8,14,17,8
"(7,31)-(7,33)",1.231351642871914e-06,1,29,2,10,33,4,0
