SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(16,3)-(16,74)",3.532428038965918e-06,20,8,44,1,7,19,0
"(16,9)-(16,10)",33.63443315029144,29,1,2,7,24,9,0
"(16,39)-(16,74)",1.3434815482327167e-07,14,13,7,19,48,25,0
"(16,54)-(16,64)",2.9347746604572896e-26,29,1,2,21,43,12,0
"(16,54)-(16,67)",1.6537465841182097e-07,43,2,1,29,21,27,0
"(16,73)-(16,74)",7.814264235683765e-08,29,2,43,21,7,1,0
"(18,12)-(28,35)",3.4333933740526845e-05,26,40,11,37,8,22,0
"(18,15)-(28,35)",4.5715697893911056e-07,26,11,40,37,1,22,0
"(19,3)-(28,35)",6.09067939221859,11,26,8,21,12,40,0
"(28,3)-(28,13)",1.7221438166186772e-16,10,29,1,2,7,43,0
"(28,3)-(28,35)",0.001392195190419443,14,3,13,43,2,6,0
"(31,51)-(31,73)",1.5088237326210674e-07,27,2,21,28,43,14,0
"(31,52)-(31,62)",3.6703436246233206e-28,29,1,2,43,21,33,0
"(31,63)-(31,70)",5.798918423493291e-13,45,50,32,19,1,4,0
"(33,20)-(33,30)",7.710593059507262e-20,2,1,29,10,17,33,0
"(33,20)-(33,45)",99.98094439506531,6,30,3,8,23,48,6
"(33,31)-(33,45)",0.245553907006979,12,1,10,4,40,26,0
"(33,32)-(33,38)",8.888677988094784e-09,10,2,1,29,21,7,0
