SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(4,11)-(4,29)",79.17349338531494,33,26,8,17,1,2,0
"(4,13)-(4,29)",0.05831723101437092,8,26,28,24,9,46,0
"(36,25)-(37,59)",5.751665810294071e-08,14,15,1,3,28,8,0
"(36,26)-(36,49)",0.0032311148970620707,6,14,13,48,28,3,0
"(36,27)-(36,32)",6.373160677185109e-30,1,29,2,7,4,10,0
"(36,27)-(36,48)",1.9706733667135268e-05,24,50,22,4,1,40,22
"(36,50)-(36,51)",2.7949691850217076e-12,1,29,10,2,24,4,0
"(37,28)-(37,58)",0.010647352610249072,14,15,48,3,13,28,0
"(37,29)-(37,53)",0.002831615711329505,24,8,19,1,13,28,0
"(37,30)-(37,52)",0.0002494424279575469,24,50,1,4,22,3,0
"(37,54)-(37,55)",9.097114001176484e-15,1,22,4,2,10,21,0
