SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(12,16)-(12,42)",84.71905589103699,26,33,1,11,3,17,0
"(12,20)-(12,42)",7.63934266956312e-06,46,12,8,39,25,36,0
"(12,37)-(12,42)",0.00503145347465761,3,10,1,4,2,35,0
"(21,5)-(24,52)",47.01228439807892,21,8,36,11,28,26,0
"(21,11)-(21,29)",1.2750571608201484e-12,26,1,10,17,2,3,0
"(21,13)-(21,29)",9.70840741132406e-07,33,1,3,2,10,14,0
"(21,17)-(21,27)",2.2831866605677043e-11,29,10,1,2,7,4,0
"(21,17)-(21,29)",99.99650716781616,31,26,10,1,17,20,11
"(24,5)-(24,52)",56.45230412483215,30,2,3,13,16,34,0
"(24,19)-(24,33)",6.948465210775079e-16,1,4,29,10,2,24,0
"(24,19)-(24,45)",0.5551833193749189,2,1,49,30,16,14,0
"(24,34)-(24,35)",1.2989248662869304e-18,1,10,4,29,45,35,0
