SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(19,19)-(19,43)",4.384278895486204e-06,25,14,9,19,46,3,0
"(19,26)-(19,42)",1.908088798074914e-07,9,2,25,22,12,3,0
"(19,27)-(19,31)",3.273134801390354e-11,12,1,2,29,9,8,0
"(29,7)-(29,46)",2.8117024767487786e-10,23,28,3,50,38,4,0
"(29,7)-(29,68)",99.86718893051147,38,19,8,22,26,46,36
"(29,8)-(29,25)",9.029943107303465e-21,3,2,22,14,46,1,0
"(29,9)-(29,13)",1.652511981420357e-09,1,2,4,10,24,29,0
"(29,28)-(29,45)",9.029943107303465e-21,3,2,22,14,46,1,0
"(29,29)-(29,33)",1.652511981420357e-09,1,2,4,10,24,29,0
"(29,51)-(29,68)",2.151774885930744e-12,4,35,50,3,2,24,0
"(29,52)-(29,56)",4.5175297553123e-35,1,2,33,4,45,29,0
