SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(15,13)-(15,61)",2.9352437147522892e-08,14,13,8,25,19,48,0
"(15,34)-(15,44)",4.656308922140922e-21,29,21,2,43,1,7,0
"(15,34)-(15,46)",0.0012804412108380347,43,10,1,17,2,29,0
"(15,54)-(15,60)",0.00012148291261837585,29,32,43,21,7,2,0
"(17,12)-(25,35)",3.354188322646223e-05,26,40,11,37,8,1,0
"(17,15)-(25,35)",5.150317061719534e-07,26,11,40,37,1,22,0
"(18,3)-(25,35)",2.3473531007766724,8,11,26,40,12,37,0
"(25,3)-(25,13)",3.786288123308612e-10,10,1,2,14,4,29,0
"(25,3)-(25,35)",6.639460252699791e-05,3,13,35,10,26,19,0
"(28,32)-(28,44)",44.368159770965576,3,24,1,2,26,10,0
"(28,32)-(28,69)",6.145465363260882e-05,23,3,28,38,13,7,3
"(28,33)-(28,39)",1.0980106603423701e-17,2,1,29,33,17,10,0
