SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(2,35)-(2,57)",6.166541766106093e-05,32,28,15,12,14,8,0
"(2,40)-(2,57)",0.00020636662156903185,14,19,28,2,3,8,0
"(2,41)-(2,46)",1.2986550328625323e-14,1,10,29,4,24,2,0
"(7,6)-(7,22)",4.76407137739443e-05,1,14,2,12,10,24,0
"(7,7)-(7,18)",1.5999887899984708e-22,1,2,29,12,10,4,0
"(7,19)-(7,21)",1.0267489081172698e-06,2,1,29,12,7,9,0
"(7,25)-(7,41)",4.76407137739443e-05,1,14,2,12,10,24,0
"(7,26)-(7,37)",1.5999887899984708e-22,1,2,29,12,10,4,0
"(7,38)-(7,40)",1.0267489081172698e-06,2,1,29,12,7,9,0
"(8,8)-(8,35)",98.64187836647034,3,35,14,4,1,19,0
"(8,8)-(8,40)",60.7949435710907,28,21,3,13,19,9,15
"(8,9)-(8,14)",1.0100387097276485e-17,2,1,29,10,33,14,0
"(8,38)-(8,40)",16.198493540287018,12,2,1,14,29,7,0
"(9,8)-(9,35)",98.64187836647034,3,35,14,4,1,19,0
"(9,8)-(9,40)",60.7949435710907,28,21,3,13,19,9,15
"(9,9)-(9,14)",1.0100387097276485e-17,2,1,29,10,33,14,0
"(9,38)-(9,40)",16.198493540287018,12,2,1,14,29,7,0
