SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(5,11)-(5,27)",3.2392066806608e-07,1,10,35,4,31,14,0
"(5,12)-(5,23)",1.6647475695750672e-14,1,4,10,2,17,31,0
"(5,24)-(5,26)",14.628627896308899,1,2,7,4,31,29,0
"(5,30)-(5,46)",3.2392066806608e-07,1,10,35,4,31,14,0
"(5,31)-(5,42)",1.6647475695750672e-14,1,4,10,2,17,31,0
"(5,43)-(5,45)",14.628627896308899,1,2,7,4,31,29,0
"(6,17)-(6,34)",72.16358184814453,14,12,1,25,2,15,0
"(6,17)-(6,46)",99.97065663337708,14,15,9,3,28,8,15
"(6,18)-(6,23)",2.4948521980955318e-11,1,2,29,12,33,4,0
"(6,35)-(6,36)",1.8758803538299063e-09,1,12,2,29,4,10,0
"(6,37)-(6,46)",6.331145763397217,1,32,12,45,29,2,0
"(6,38)-(6,40)",0.00044097973841417115,4,1,31,7,2,20,0
"(6,43)-(6,45)",0.00044097973841417115,4,1,31,7,2,20,0
"(6,52)-(6,70)",48.162680864334106,32,1,19,2,14,13,0
"(6,52)-(6,75)",89.58694338798523,14,15,9,3,28,25,15
"(6,53)-(6,55)",0.00044097973841417115,4,1,31,7,2,20,0
"(6,58)-(6,69)",5.19551804245566e-05,4,35,14,3,1,12,0
"(6,59)-(6,64)",8.488540680908971e-14,2,1,29,4,10,17,0
"(6,71)-(6,72)",1.8758803538299063e-09,1,12,2,29,4,10,0
