SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(3,25)-(3,36)",4.9104349872288594e-12,29,1,21,2,19,12,0
"(3,25)-(3,55)",16.890133917331696,14,28,15,3,9,27,0
"(7,3)-(9,50)",7.583499268548621e-05,3,28,13,2,21,24,0
"(8,8)-(8,23)",5.420009188128461e-05,4,1,24,22,3,14,0
"(8,8)-(8,36)",99.99611377716064,7,27,28,15,2,3,15
"(8,9)-(8,20)",2.606741827223578e-17,1,4,2,14,10,6,0
"(9,8)-(9,50)",46.45404815673828,3,2,21,26,13,8,0
"(9,25)-(9,45)",2.2996636107563972,14,25,1,29,3,2,0
"(9,26)-(9,37)",3.6892608109087566e-12,1,29,2,4,21,8,0
"(9,50)-(9,50)",99.99972581863403,12,4,9,2,14,1,12
