SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(18,5)-(30,52)",4.792605713009834,21,22,3,9,11,30,0
"(18,11)-(27,42)",5.500132218003273,26,3,11,22,9,1,0
"(18,13)-(27,42)",0.08273539133369923,22,3,13,26,21,1,0
"(19,7)-(27,42)",99.95586276054382,20,11,22,30,8,21,11
"(19,13)-(19,19)",60.44474244117737,1,2,12,11,9,15,0
"(19,17)-(19,18)",0.05427583819255233,1,29,12,24,2,11,0
"(21,11)-(23,32)",0.17107005696743727,11,18,16,15,1,22,0
"(23,16)-(23,32)",9.749078211385154e-08,24,11,15,1,3,18,0
"(23,30)-(23,31)",0.029356169397942722,4,21,1,12,22,9,0
"(26,20)-(26,41)",87.92914748191833,3,2,14,9,24,1,0
"(26,28)-(26,29)",1.9481835589196805e-08,1,4,29,6,10,2,0
"(26,30)-(26,40)",35.11192202568054,1,6,2,29,8,3,0
"(27,20)-(27,41)",87.92914748191833,3,2,14,9,24,1,0
"(27,21)-(27,27)",45.40007412433624,1,29,4,6,2,21,0
"(27,28)-(27,29)",1.9481835589196805e-08,1,4,29,6,10,2,0
"(27,30)-(27,40)",35.11192202568054,1,6,2,29,8,3,0
"(30,19)-(30,33)",1.9728256528406263e-08,1,4,24,10,29,3,0
"(30,19)-(30,45)",2.2647811099886894,3,30,6,14,2,1,0
"(30,34)-(30,35)",1.9728256528406263e-08,1,4,24,10,29,3,0
