SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(11,19)-(11,44)",3.0787710159074777e-06,26,1,17,2,10,3,0
"(11,28)-(11,44)",0.008772472938289866,9,2,3,30,8,25,0
"(13,17)-(13,29)",4.036425915732167e-08,1,10,17,26,2,3,0
"(13,21)-(13,29)",0.17861154628917575,20,1,8,17,11,4,0
"(13,28)-(13,29)",4.4407340027419195e-06,2,30,9,4,1,6,0
"(15,18)-(15,68)",0.000300861029245425,26,17,1,8,2,3,0
"(15,39)-(15,68)",0.4113938193768263,30,6,3,8,9,11,0
"(17,17)-(17,40)",2.1329999988495274e-07,26,17,1,2,3,10,0
"(17,26)-(17,40)",0.0348418194334954,3,1,8,6,11,15,0
"(22,3)-(29,57)",34.239622950553894,3,22,30,11,9,8,0
"(25,16)-(25,19)",8.876069150509647e-10,9,2,1,29,25,10,0
"(25,16)-(25,45)",0.00016510359728272306,19,3,22,9,30,6,0
"(25,20)-(25,45)",2.1958676654776355e-05,25,14,9,3,19,6,0
"(25,27)-(25,44)",0.0003552899897840689,9,2,4,3,22,23,0
"(25,28)-(25,32)",3.919752300518553e-08,12,1,2,9,8,4,0
"(25,33)-(25,43)",0.0014597141671401914,9,12,2,25,4,1,0
"(26,18)-(26,29)",1.6612881209576713e-09,2,9,29,12,4,21,0
"(26,18)-(26,39)",0.10197792435064912,23,19,1,3,22,6,19
"(26,30)-(26,39)",73.90586137771606,9,4,2,12,25,1,0
"(26,31)-(26,35)",3.3181950314194924e-13,9,2,1,4,12,8,0
"(26,36)-(26,38)",99.99834299087524,12,9,1,2,15,4,0
"(27,24)-(27,36)",1.6612881209576713e-09,2,9,29,12,4,21,0
"(27,24)-(27,59)",62.833237648010254,6,23,22,3,19,30,22
"(27,38)-(27,47)",0.00021587140963674756,9,2,1,4,12,22,0
"(27,39)-(27,43)",2.6611742323656706e-09,1,9,2,10,17,4,0
"(27,44)-(27,46)",0.056854827562347054,12,1,4,9,6,2,0
"(27,49)-(27,58)",0.00021587120500043966,9,2,1,4,12,22,0
"(27,50)-(27,54)",2.6611742323656706e-09,1,9,2,10,17,4,0
"(27,55)-(27,57)",0.056854827562347054,12,1,4,9,6,2,0
"(28,22)-(28,32)",1.6612881209576713e-09,2,9,29,12,4,21,0
"(28,22)-(28,55)",62.833237648010254,6,23,22,3,19,30,23
"(28,34)-(28,43)",0.00021587140963674756,9,2,1,4,12,22,0
"(28,35)-(28,39)",2.6611742323656706e-09,1,9,2,10,17,4,0
"(28,40)-(28,42)",0.056854827562347054,12,1,4,9,6,2,0
"(28,45)-(28,54)",0.00021587140963674756,9,2,1,4,12,22,0
"(28,46)-(28,50)",2.6611742323656706e-09,1,9,2,10,17,4,0
"(28,51)-(28,53)",0.056854827562347054,12,1,4,9,6,2,0
"(29,29)-(29,40)",1.6612881209576713e-09,2,9,29,12,4,21,0
"(29,29)-(29,57)",83.90183448791504,23,22,6,3,19,4,0
