SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(6,3)-(9,54)",2.533935382962227,30,21,8,11,9,2,0
"(6,9)-(6,68)",0.1266332226805389,26,17,3,1,10,2,0
"(6,11)-(6,68)",6.470759483789834e-07,26,3,11,1,10,17,0
"(6,15)-(6,68)",4.5171815901994705,11,20,26,1,2,30,0
"(6,34)-(6,68)",0.00029491272925952217,2,13,30,26,21,11,0
"(6,52)-(6,53)",63.36222290992737,16,5,11,15,10,1,0
"(6,57)-(6,68)",1.0844376869499683,15,16,3,5,1,11,0
"(6,63)-(6,64)",7.27179871873318e-08,1,10,4,26,21,2,0
"(9,21)-(9,35)",0.003361631024745293,1,4,10,22,20,2,0
"(9,21)-(9,47)",10.559982806444168,14,3,15,30,18,6,0
"(9,36)-(9,37)",0.002899305400205776,1,4,10,29,24,21,0
