SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(18,19)-(18,43)",2.1958676654776355e-05,25,14,9,3,19,6,0
"(18,26)-(18,42)",0.0003552899897840689,9,2,4,3,22,23,0
"(18,27)-(18,31)",3.919752300518553e-08,12,1,2,9,8,4,0
"(27,7)-(27,30)",97.8419303894043,25,9,22,4,23,3,0
"(27,7)-(27,71)",0.01036687899613753,23,22,3,13,30,9,0
"(27,8)-(27,24)",6.082916288729923e-14,4,22,9,3,2,23,0
"(27,9)-(27,13)",2.0021106016013084e-14,1,10,4,2,26,17,0
"(27,34)-(27,71)",99.99839067459106,23,9,3,28,22,25,23
"(27,35)-(27,51)",6.082916288729923e-14,4,22,9,3,2,23,0
"(27,36)-(27,40)",2.0021106016013084e-14,1,10,4,2,26,17,0
"(27,54)-(27,70)",6.082916288729923e-14,4,22,9,3,2,23,0
"(27,55)-(27,59)",2.0021106016013084e-14,1,10,4,2,26,17,0
