SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(3,9)-(3,10)",2.1875428135587072e-07,2,29,21,8,1,9,0
"(3,9)-(3,12)",0.03742167027667165,2,1,12,9,6,3,0
"(3,51)-(3,57)",1.4592165231133367e-12,2,29,21,8,10,1,0
"(3,51)-(3,64)",0.00040731147237238474,2,9,3,4,1,22,0
"(3,58)-(3,64)",0.0005414757197286235,12,1,2,8,9,14,0
"(3,59)-(3,60)",0.0001832486191233329,1,2,4,9,8,21,0
"(5,22)-(5,28)",2.0624807417490842e-09,2,1,29,21,8,4,0
"(5,22)-(5,50)",58.69136452674866,8,4,2,23,3,6,0
"(5,29)-(5,50)",67.35632419586182,8,2,12,1,6,4,0
"(5,30)-(5,46)",92.63045191764832,8,1,2,12,26,11,0
