SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(4,13)-(8,58)",0.03464076144155115,26,3,9,8,22,23,0
"(4,16)-(8,58)",0.0006075999863242032,26,11,9,3,22,23,0
"(5,3)-(8,58)",0.9927955456078053,11,22,9,30,23,8,0
"(6,3)-(8,58)",34.04737114906311,11,21,26,22,30,3,0
"(7,18)-(7,23)",1.244949476841839e-06,29,1,21,10,2,17,0
"(7,18)-(7,32)",0.5364143289625645,14,15,1,4,3,21,0
"(7,24)-(7,25)",3.3232465668220357e-07,4,21,7,1,29,24,0
"(8,8)-(8,58)",0.05136883119121194,11,15,16,28,12,9,0
"(8,41)-(8,57)",0.027721465448848903,15,1,6,23,8,3,0
"(8,42)-(8,52)",72.00931906700134,2,29,1,14,7,27,0
"(8,47)-(8,48)",0.00013856182476956747,1,10,17,4,26,29,0
"(14,3)-(26,35)",5.4110657423734665,22,3,8,9,23,30,0
"(14,12)-(25,52)",0.38851757999509573,26,11,3,9,22,1,0
"(15,5)-(25,52)",10.55692732334137,21,3,22,30,9,11,0
"(15,11)-(22,44)",15.44661670923233,26,3,11,9,1,22,0
"(16,7)-(22,44)",42.402514815330505,20,11,22,1,18,3,11
"(16,13)-(16,14)",47.83894121646881,2,29,7,14,13,1,0
"(17,15)-(17,17)",0.002210698221460916,7,4,3,5,14,2,0
"(19,11)-(22,44)",19.391532242298126,11,9,15,3,26,13,0
"(20,11)-(22,44)",3.8087833672761917,3,11,26,13,1,2,0
"(21,16)-(21,27)",0.2608729060739279,3,4,2,6,30,24,0
"(21,16)-(21,44)",9.06205684714223e-05,2,3,1,10,9,4,0
"(21,21)-(21,26)",2.671767340700626e-06,6,3,4,1,2,30,0
"(21,22)-(21,23)",1.4363008646415613e-15,4,1,10,2,21,26,0
"(21,30)-(21,44)",7.34201890395525e-06,7,2,4,1,14,15,0
"(22,16)-(22,27)",0.2608729060739279,3,4,2,6,30,24,0
"(22,16)-(22,44)",9.06205684714223e-05,2,3,1,10,9,4,0
"(22,21)-(22,26)",2.671767340700626e-06,6,3,4,1,2,30,0
"(22,22)-(22,23)",1.4363008646415613e-15,4,1,10,2,21,26,0
"(22,30)-(22,44)",7.34201890395525e-06,7,2,4,1,14,15,0
"(23,5)-(25,52)",0.0005268242148304125,30,16,2,13,21,20,0
"(23,16)-(23,22)",88.63518238067627,10,4,1,2,5,7,0
"(24,29)-(24,56)",0.4464913159608841,3,2,1,26,10,14,0
"(24,30)-(24,35)",1.4945905624230704e-08,1,4,10,29,12,8,0
"(24,36)-(24,38)",0.00404311140300706,1,24,4,22,20,12,0
"(25,19)-(25,33)",0.003361631024745293,1,4,10,22,20,2,0
"(25,19)-(25,45)",10.559982806444168,14,3,15,30,18,6,0
"(25,34)-(25,35)",0.003361631024745293,1,4,10,22,20,2,0
"(25,36)-(25,40)",0.010967515845550224,1,4,29,20,7,2,0
"(26,14)-(26,35)",0.05088818725198507,27,2,3,7,14,19,0
"(26,15)-(26,18)",7.889702888404238e-11,1,29,24,21,4,17,0
"(26,19)-(26,34)",0.001493413765274454,1,12,3,2,14,15,0
"(26,20)-(26,27)",1.2485722193286957e-12,2,1,8,29,17,21,0
