SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(4,13)-(7,60)",0.037810602225363255,26,3,9,8,22,23,0
"(4,16)-(7,60)",0.00010284492191203753,26,3,9,22,8,23,0
"(5,3)-(7,60)",3.2009185702008836e-05,23,8,3,11,22,15,0
"(7,8)-(7,60)",95.91706395149231,13,14,3,28,15,27,0
"(7,56)-(7,57)",4.9104349872288594e-12,29,1,21,2,19,12,0
"(9,20)-(12,43)",0.0036571120290318504,26,9,3,11,22,1,0
"(12,20)-(12,34)",0.00015240926813930855,1,4,10,2,9,7,0
"(12,20)-(12,43)",1.6760844737291336,14,3,9,1,30,25,0
"(12,42)-(12,43)",0.03749233728740364,29,1,3,19,24,7,0
"(15,3)-(25,41)",11.100784689188004,8,3,23,30,9,22,0
"(15,12)-(24,52)",2.6234645396471024,26,11,9,3,22,1,0
"(25,3)-(25,13)",6.191878260120021e-09,10,2,1,17,4,26,0
"(25,3)-(25,41)",0.036620235187001526,3,14,6,2,16,5,0
"(25,14)-(25,41)",0.6920534186065197,3,2,14,1,27,24,9
"(25,15)-(25,36)",2.138960547745228,1,24,2,8,4,9,0
"(25,16)-(25,19)",4.5343603004288635e-10,1,2,4,10,17,29,0
"(25,20)-(25,35)",0.001183135282190051,3,1,2,6,12,14,0
"(25,21)-(25,28)",2.7495312693304186e-06,1,4,2,21,22,8,0
