SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(19,20)-(19,45)",2.1958676654776355e-05,25,14,9,3,19,6,0
"(19,27)-(19,44)",0.0003552899897840689,9,2,4,3,22,23,0
"(19,28)-(19,32)",3.919752300518553e-08,12,1,2,9,8,4,0
"(30,7)-(30,10)",1.6612881209576713e-09,2,9,29,12,4,21,0
"(30,7)-(31,78)",64.28946852684021,22,3,23,6,9,19,0
"(31,9)-(31,78)",99.9970555305481,22,28,9,3,11,23,0
"(31,10)-(31,49)",6.61241270072388e-09,23,3,22,4,9,8,0
"(31,11)-(31,28)",2.728956793873749e-06,3,2,4,24,1,22,0
"(31,12)-(31,16)",2.980635249521472e-13,2,1,10,29,17,8,0
"(31,31)-(31,48)",2.728956793873749e-06,3,2,4,24,1,22,0
"(31,32)-(31,36)",2.980635249521472e-13,2,1,10,29,17,8,0
"(31,52)-(31,77)",5.117344129825993e-12,3,23,9,4,2,22,0
