SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(17,5)-(23,52)",21.438226103782654,21,30,3,13,11,22,0
"(17,11)-(20,74)",35.62548756599426,26,3,17,1,11,2,0
"(19,7)-(20,74)",2.993728779256344,11,18,16,20,15,22,0
"(19,25)-(19,26)",30.192747712135315,16,11,10,15,5,1,0
"(20,9)-(20,28)",9.121165628345196e-10,3,4,1,16,6,2,0
"(20,22)-(20,27)",91.21397137641907,1,4,2,10,22,9,0
"(21,5)-(23,52)",0.0005268242148304125,30,16,2,13,21,20,0
"(21,16)-(21,28)",0.0002562801910244161,5,1,16,2,4,7,0
"(21,17)-(21,23)",61.62639260292053,4,7,1,3,9,2,4
"(23,19)-(23,33)",1.9728256528406263e-08,1,4,24,10,29,3,0
"(23,19)-(23,45)",2.2647811099886894,3,30,6,14,2,1,0
"(23,34)-(23,35)",1.9728256528406263e-08,1,4,24,10,29,3,0
"(23,36)-(23,40)",0.000666492678647046,15,12,4,1,24,22,0
