SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(3,3)-(7,59)",0.00039156052480393555,11,22,30,3,6,20,0
"(6,7)-(7,59)",0.037608679849654436,30,21,26,13,11,2,0
"(6,13)-(6,77)",0.0015729625374660827,26,1,3,17,10,9,0
"(6,15)-(6,77)",4.504914843939112e-09,1,26,17,10,2,3,0
"(6,19)-(6,77)",8.846117793837038e-05,18,1,6,20,14,11,0
"(6,25)-(6,26)",0.10046306997537613,2,14,29,7,1,13,0
"(6,62)-(6,63)",55.22588491439819,4,1,6,2,10,9,0
"(6,62)-(6,77)",0.20409119315445423,3,1,14,2,6,15,0
"(6,64)-(6,65)",0.006571845733560622,10,1,2,4,17,21,0
"(7,7)-(7,59)",0.0002770073933788808,30,11,6,18,3,1,0
"(7,18)-(7,19)",91.24200344085693,4,1,10,6,2,21,0
"(7,23)-(7,59)",1.7739317570431012e-05,1,4,2,6,9,3,0
"(7,31)-(7,32)",94.94711756706238,1,7,4,29,10,2,29
"(7,36)-(7,50)",3.5390473902225494,1,4,10,7,29,2,0
"(7,36)-(7,59)",0.08116126409731805,6,3,1,14,30,4,0
"(7,51)-(7,52)",3.5390473902225494,1,4,10,7,29,2,0
"(7,53)-(7,57)",0.3014960791915655,4,1,10,2,7,14,0
"(7,58)-(7,59)",0.7444450631737709,1,7,29,4,2,10,0
