SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(3,3)-(9,28)",13.635559380054474,8,23,3,9,21,26,0
"(3,19)-(8,49)",0.00185307944775559,26,3,11,1,13,30,0
"(4,5)-(8,49)",0.00013114668035996147,3,11,26,14,9,1,0
"(4,11)-(4,15)",60.79705357551575,14,29,3,13,15,2,0
"(8,9)-(8,49)",0.005909059836994857,3,2,30,1,5,13,0
"(8,21)-(8,24)",99.9897837638855,1,29,21,2,3,5,1
"(8,22)-(8,23)",1.6186545437335553e-07,24,1,3,4,10,2,0
"(8,28)-(8,34)",7.514029953803458e-08,29,1,24,3,10,4,0
"(8,28)-(8,49)",6.272222208281164e-05,2,3,1,10,21,29,0
"(8,35)-(8,49)",1.2411399744451046,1,2,3,24,12,4,0
"(8,43)-(8,48)",0.030557200079783797,1,29,7,4,2,21,0
