SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(16,5)-(22,52)",29.529541730880737,21,30,3,13,11,26,0
"(16,11)-(19,64)",31.964653730392456,26,3,17,1,11,2,0
"(16,13)-(19,64)",0.0002536797865104745,26,3,11,9,21,1,0
"(17,7)-(19,64)",7.878093421459198,11,30,16,20,18,1,0
"(18,7)-(19,64)",1.9350411370396614,11,18,16,20,15,1,0
"(18,25)-(18,26)",30.192747712135315,16,11,10,15,5,1,0
"(19,7)-(19,64)",4.94262394568068e-05,11,18,15,9,28,1,0
"(19,26)-(19,63)",6.074056401848793,14,29,13,7,27,3,0
"(19,27)-(19,30)",67.22773909568787,22,4,23,24,1,6,22
"(19,34)-(19,62)",71.5215265750885,1,24,3,22,27,2,1
"(22,19)-(22,33)",1.9728256528406263e-08,1,4,24,10,29,3,0
"(22,19)-(22,45)",2.2647811099886894,3,30,6,14,2,1,0
"(22,34)-(22,35)",1.9728256528406263e-08,1,4,24,10,29,3,0
