SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(16,5)-(22,52)",33.44454765319824,21,30,3,13,11,26,0
"(16,11)-(19,64)",16.403234004974365,26,17,3,1,2,11,0
"(16,13)-(19,64)",8.83311827237776e-05,26,3,11,9,1,21,0
"(17,7)-(19,64)",6.563229113817215,11,16,30,18,20,1,0
"(18,7)-(19,64)",91.50492548942566,11,16,18,30,1,20,0
"(19,7)-(19,64)",0.3688874654471874,11,16,15,18,5,1,0
"(19,38)-(19,64)",0.4443582147359848,11,18,15,1,3,16,0
"(19,51)-(19,63)",91.4066731929779,1,29,14,24,19,2,27
"(20,5)-(22,52)",2.6937118491332512e-05,30,16,2,13,21,20,0
"(20,16)-(20,23)",0.004935110700898804,4,7,5,1,3,10,0
"(20,20)-(20,22)",1.234473753720522,4,7,1,2,14,27,0
"(22,19)-(22,33)",1.9728256528406263e-08,1,4,24,10,29,3,0
"(22,19)-(22,45)",2.2647811099886894,3,30,6,14,2,1,0
"(22,34)-(22,35)",1.9728256528406263e-08,1,4,24,10,29,3,0
"(22,36)-(22,40)",0.0029600334528367966,12,15,14,2,25,1,0
