SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(4,13)-(9,76)",0.02324010420124978,26,3,9,22,8,23,0
"(4,16)-(9,76)",0.000343561805493664,26,11,9,3,22,23,0
"(8,13)-(8,47)",0.02818270877469331,14,13,2,15,25,9,0
"(8,14)-(8,25)",1.7280259001495324e-06,1,29,6,17,2,3,0
"(8,44)-(8,46)",41.944050788879395,29,1,6,2,8,21,0
"(14,12)-(23,35)",0.01330315280938521,26,3,22,9,8,23,0
"(14,15)-(23,35)",9.366692097501073e-05,26,11,22,9,3,23,0
"(23,19)-(23,34)",0.001493413765274454,1,12,3,2,14,15,0
"(23,20)-(23,27)",1.2485722193286957e-12,2,1,8,29,17,21,0
"(23,31)-(23,33)",3.638297996211293e-08,2,29,1,8,21,19,0
"(25,20)-(26,60)",0.5676880478858948,3,26,8,9,2,23,0
"(25,22)-(26,60)",0.014492165064439178,8,3,9,23,26,4,0
"(26,27)-(26,33)",4.9104349872288594e-12,29,1,21,2,19,12,0
"(26,27)-(26,60)",67.79710650444031,14,28,13,27,15,2,0
"(26,36)-(26,60)",97.36425280570984,27,19,2,7,13,14,27
"(26,37)-(26,51)",0.00013042129012319492,1,24,3,4,2,17,0
"(26,38)-(26,48)",7.437102935385062e-20,1,2,4,10,26,9,0
"(26,54)-(26,59)",9.401997402846973e-07,1,4,3,7,2,6,0
"(26,55)-(26,56)",1.5342112405814724e-21,4,1,2,10,7,21,0
