SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(2,8)-(2,23)",44.68168318271637,26,17,1,3,2,8,0
"(2,10)-(2,23)",0.0020453333490877412,26,17,2,1,3,8,0
"(2,14)-(2,23)",0.0005425089511845727,17,3,10,1,6,2,0
"(5,9)-(5,10)",2.1875428135587072e-07,2,29,21,8,1,9,0
"(5,9)-(5,12)",0.03742167027667165,2,1,12,9,6,3,0
"(5,42)-(5,48)",2.136687551948735e-16,1,12,2,9,21,4,0
"(5,42)-(5,56)",3.0192770505976796e-08,9,2,12,27,7,4,0
"(5,49)-(5,56)",4.1212322443584526e-07,12,1,9,2,8,4,0
"(5,50)-(5,51)",3.421192616224289,1,8,2,21,4,29,0
"(7,22)-(7,28)",2.0624807417490842e-09,2,1,29,21,8,4,0
"(7,22)-(7,42)",60.07847189903259,4,8,2,3,6,23,0
"(7,29)-(7,42)",67.51808524131775,8,2,6,3,23,1,0
"(7,30)-(7,38)",99.5420753955841,1,2,14,8,9,26,8
"(7,31)-(7,33)",4.2149088130827295e-05,1,4,17,2,10,29,0
