SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(3,3)-(4,63)",0.1392053090967238,30,21,8,2,11,6,0
"(3,9)-(3,23)",0.00012589348443725612,26,17,3,10,2,1,0
"(3,11)-(3,23)",6.310775513274081e-09,1,17,3,2,10,26,0
"(3,15)-(3,18)",70.1359212398529,1,24,27,4,5,3,0
"(3,15)-(3,23)",97.7493166923523,20,11,1,18,13,17,0
"(3,16)-(3,17)",1.8656182501630703e-09,24,1,4,3,2,9,0
"(3,22)-(3,23)",93.4544324874878,7,19,21,28,27,4,0
"(4,37)-(4,51)",0.00015240926813930855,1,4,10,2,9,7,0
"(4,37)-(4,63)",83.34404230117798,3,9,30,14,1,6,0
"(4,52)-(4,53)",7.514029953803458e-08,29,1,24,3,10,4,0
