SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(2,13)-(5,7)",0.01447546819690615,26,9,11,3,1,22,0
"(4,13)-(4,30)",1.1519429854445207e-07,3,1,24,19,2,4,0
"(4,14)-(4,27)",1.2071244069426779e-11,1,2,4,10,6,29,0
"(4,28)-(4,29)",1.8617791397446126e-05,2,4,1,6,14,3,0
"(8,3)-(8,64)",1.982651269827329e-05,23,8,28,1,6,3,0
"(8,40)-(8,58)",0.02636070130392909,1,2,29,27,17,19,0
"(8,41)-(8,52)",8.907072564164876e-17,29,1,21,2,8,17,0
"(8,53)-(8,57)",2.4391471065143833e-07,29,21,1,2,8,19,0
"(10,23)-(10,34)",0.0007236051260406384,3,1,2,4,10,26,0
"(10,24)-(10,31)",9.010819312926799e-08,1,2,17,6,8,10,0
"(10,32)-(10,33)",0.055389595218002796,1,6,2,12,4,8,0
"(10,37)-(10,52)",0.0007236051260406384,3,1,2,4,10,26,0
"(10,38)-(10,49)",9.010819312926799e-08,1,2,17,6,8,10,0
"(10,50)-(10,51)",68.66833567619324,1,2,29,17,8,6,2
