SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(3,3)-(4,46)",0.06784024881199002,30,21,8,2,26,4,0
"(3,9)-(3,40)",5.041182582488091e-07,26,17,3,10,2,1,0
"(3,11)-(3,40)",6.25550175895051e-10,3,10,2,17,1,26,0
"(3,15)-(3,40)",98.69508147239685,20,11,17,1,26,18,1
"(3,21)-(3,23)",47.83894121646881,2,29,7,14,13,1,0
"(3,39)-(3,40)",47.83894121646881,2,29,7,14,13,1,0
"(4,3)-(4,46)",7.15775980153488e-09,30,3,6,2,9,13,0
"(4,14)-(4,18)",99.99737739562988,5,10,1,16,4,2,10
"(4,15)-(4,17)",0.00020463553482841235,24,3,1,2,4,10,0
"(4,22)-(4,36)",0.00015240926813930855,1,4,10,2,9,7,0
"(4,22)-(4,46)",1.6760844737291336,14,3,9,1,30,25,0
"(4,37)-(4,38)",7.514029953803458e-08,29,1,24,3,10,4,0
"(4,39)-(4,43)",0.004894554876955226,1,4,10,2,9,7,0
