SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(3,3)-(3,76)",0.005259827958070673,6,1,18,3,23,11,0
"(3,25)-(3,30)",5.775270484065231e-07,2,15,12,4,7,14,0
"(3,45)-(3,58)",4.6863055658263875e-07,10,2,1,4,17,26,0
"(3,45)-(3,76)",0.014457065844908357,3,14,13,25,24,4,0
"(3,59)-(3,71)",0.1615504384972155,4,2,1,3,14,9,0
"(3,60)-(3,65)",0.0050930222641909495,1,2,21,4,29,10,0
"(12,17)-(12,40)",0.1821907004341483,3,26,17,1,10,2,0
"(12,22)-(12,35)",0.0013658385796588846,21,1,4,2,29,8,0
"(12,22)-(12,40)",25.137484073638916,4,3,6,23,15,22,0
"(14,33)-(14,72)",0.47708554193377495,3,8,2,4,30,9,2
"(14,49)-(14,56)",1.0670080812826e-11,29,2,21,12,1,8,0
"(14,49)-(14,72)",99.88604784011841,4,21,2,3,8,7,0
"(14,72)-(14,72)",99.87820982933044,4,7,21,22,3,24,0
