SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(4,13)-(7,68)",3.8671850895802003e-22,22,8,40,26,13,9,0
"(4,16)-(7,68)",1.0678957744655323e-26,26,8,9,22,1,40,0
"(5,3)-(7,68)",3.006592510044808e-20,41,37,12,11,1,8,0
"(6,10)-(6,57)",0.006476743874372914,13,14,3,6,28,48,0
"(6,11)-(6,16)",2.6731161771945122e-11,1,2,33,4,9,29,0
"(6,17)-(6,18)",3.3040862153753143e-13,4,1,21,35,2,22,0
"(6,39)-(6,55)",50.910526514053345,35,1,3,10,4,2,0
"(6,40)-(6,51)",2.51333297353891e-17,1,2,10,35,3,14,0
"(6,52)-(6,54)",0.00475463384645991,1,2,14,3,10,29,0
"(7,8)-(7,68)",10.89860424399376,11,18,1,15,41,8,0
"(7,65)-(7,67)",36.47068440914154,29,1,2,7,3,24,0
"(34,3)-(34,73)",46.0677832365036,18,16,11,12,8,30,0
"(34,15)-(34,22)",0.004404850187711418,29,1,33,2,32,3,0
"(34,15)-(34,28)",95.97689509391785,49,15,16,12,1,2,0
"(34,47)-(34,72)",82.00889825820923,14,3,27,24,1,2,0
"(34,48)-(34,53)",1.0813002715437392e-07,1,2,29,33,4,32,0
"(34,54)-(34,55)",41.94941520690918,1,4,24,2,3,29,0
"(37,34)-(37,56)",20.502738654613495,27,43,19,13,14,3,0
"(37,35)-(37,45)",2.7594459361149305e-13,29,1,3,2,32,33,0
"(37,46)-(37,53)",2.3028840390616062e-12,50,1,2,4,35,24,0
"(40,3)-(49,50)",0.6831802427768707,8,9,13,12,37,1,0
"(40,9)-(46,66)",0.00023469090137950843,26,9,1,42,13,14,0
"(40,11)-(46,66)",2.730221214039541e-10,26,42,9,21,8,1,0
"(41,5)-(46,66)",0.00612473304499872,18,20,1,11,16,39,0
"(43,9)-(46,66)",0.12206749524921179,18,49,16,15,11,12,0
"(43,16)-(43,17)",20.062626898288727,36,15,16,12,5,32,0
"(45,14)-(46,65)",0.00029229083793325117,41,15,37,38,1,40,0
"(46,31)-(46,54)",8.571479469537735,6,43,2,3,1,14,0
"(46,32)-(46,42)",2.7594459361149305e-13,29,1,3,2,32,33,0
"(46,43)-(46,44)",0.08113033254630864,2,24,4,1,50,3,1
"(49,17)-(49,31)",8.984588086605072,1,2,9,4,12,8,0
"(49,17)-(49,43)",2.048243209719658,14,12,3,2,6,15,0
"(49,32)-(49,33)",3.3328969806234454e-06,1,43,2,29,27,33,0
