SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(22,5)-(28,52)",10.077990591526031,21,13,3,9,41,37,0
"(22,11)-(25,65)",15.711063146591187,26,13,9,40,1,2,0
"(22,13)-(25,65)",2.8219764493800847e-13,26,9,42,21,8,1,0
"(23,7)-(25,65)",0.025817201822064817,20,11,1,30,12,18,0
"(24,7)-(25,65)",42.99945831298828,11,12,18,20,16,15,16
"(24,21)-(24,22)",20.062626898288727,36,15,16,12,5,32,0
"(25,7)-(25,65)",0.0035832446883432567,41,37,15,38,1,40,0
"(25,8)-(25,31)",0.024619739269837737,24,1,28,14,27,13,0
"(25,9)-(25,25)",7.643627242259754e-06,1,3,24,4,2,16,0
"(25,22)-(25,24)",25.335201621055603,1,10,35,2,4,3,0
"(25,33)-(25,64)",74.07222986221313,14,4,1,3,15,8,0
"(25,34)-(25,35)",51.79629325866699,29,1,2,4,3,21,0
"(25,36)-(25,37)",7.380156518141222e-20,1,2,33,9,29,4,0
"(28,19)-(28,33)",3.3328969806234454e-06,1,43,2,29,27,33,0
"(28,19)-(28,45)",2.2933926433324814,2,3,36,5,6,30,0
"(28,34)-(28,35)",3.3328969806234454e-06,1,43,2,29,27,33,0
