SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(4,13)-(8,58)",2.897549529293556e-21,22,26,8,40,9,13,0
"(4,16)-(8,58)",7.717750177193804e-26,26,8,9,22,1,40,0
"(7,41)-(7,51)",46.96458876132965,14,2,1,43,25,6,0
"(7,46)-(7,47)",1.0813002715437392e-07,1,2,29,33,4,32,0
"(7,48)-(7,50)",51.79629325866699,29,1,2,4,3,21,0
"(8,42)-(8,52)",46.96458876132965,14,2,1,43,25,6,0
"(8,47)-(8,48)",1.0813002715437392e-07,1,2,29,33,4,32,0
"(8,49)-(8,51)",51.79629325866699,29,1,2,4,3,21,0
"(13,12)-(24,35)",2.0226977859974672e-23,13,22,40,37,8,9,0
"(13,15)-(24,35)",4.125271425910089e-31,22,8,13,40,37,9,0
"(24,19)-(24,34)",0.27820479590445757,2,5,3,12,1,36,0
"(24,20)-(24,27)",3.3328969806234454e-06,1,43,2,29,27,33,0
"(24,28)-(24,30)",18.648625910282135,27,43,28,1,2,3,0
"(24,31)-(24,33)",18.648625910282135,27,43,28,1,2,3,0
"(27,42)-(27,48)",3.068330300948219e-06,29,2,10,1,32,33,0
"(27,42)-(27,73)",37.53113150596619,14,28,13,3,43,27,0
"(27,49)-(27,50)",45.72531878948212,29,21,2,10,43,7,0
"(27,51)-(27,73)",20.502738654613495,27,43,19,13,14,3,0
"(27,52)-(27,62)",2.7594459361149305e-13,29,1,3,2,32,33,0
"(27,71)-(27,72)",12.445085495710373,29,3,1,43,21,14,0
"(30,3)-(32,76)",6.9944992661476135,9,30,8,12,1,13,0
"(30,9)-(30,74)",0.004186987644061446,26,17,1,9,33,42,0
"(30,15)-(30,74)",82.2946548461914,18,16,11,1,12,30,0
"(30,29)-(30,30)",51.69728994369507,49,15,12,2,16,18,0
"(30,34)-(30,40)",0.004404850187711418,29,1,33,2,32,3,0
"(30,34)-(30,74)",95.09957432746887,11,15,1,49,18,16,0
"(30,44)-(30,74)",20.623387396335602,13,27,3,14,28,2,0
"(30,45)-(30,67)",0.27210006956011057,14,3,6,9,35,2,0
"(30,46)-(30,56)",4.7910441559421365e-23,1,9,2,12,4,34,0
"(30,64)-(30,66)",99.99994039535522,21,45,7,3,35,1,0
"(30,68)-(30,70)",2.7594459361149305e-13,29,1,3,2,32,33,0
"(30,71)-(30,73)",2.309707008985029e-08,1,4,9,31,2,22,0
"(31,3)-(32,76)",0.0030091930966591462,2,14,3,28,8,12,0
"(31,14)-(31,21)",21.133065223693848,2,1,8,12,3,33,0
"(31,15)-(31,16)",0.0013825619134877343,1,20,4,31,11,19,0
"(32,43)-(32,57)",8.984588086605072,1,2,9,4,12,8,0
"(32,43)-(32,69)",2.048243209719658,14,12,3,2,6,15,0
"(32,58)-(32,59)",3.3328969806234454e-06,1,43,2,29,27,33,0
"(32,60)-(32,64)",2.9429601866581834e-06,15,12,49,1,20,2,0
