SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(3,3)-(7,66)",1.6705010352779937e-05,1,8,9,11,40,41,0
"(6,7)-(6,21)",93.94664764404297,19,13,1,7,27,43,0
"(6,7)-(7,66)",15.057331323623657,13,3,14,15,37,41,0
"(6,8)-(6,20)",97.98572659492493,19,2,1,21,3,27,0
"(6,22)-(6,23)",3.068330300948219e-06,29,2,10,1,32,33,0
"(7,9)-(7,66)",45.69261372089386,3,13,14,37,15,21,0
"(7,10)-(7,33)",88.12071084976196,28,13,3,2,14,1,0
"(7,11)-(7,32)",99.74823594093323,36,2,3,5,1,30,0
"(7,34)-(7,35)",2.7594459361149305e-13,29,1,3,2,32,33,0
"(7,36)-(7,65)",82.5219988822937,2,3,13,14,27,28,0
"(7,57)-(7,58)",2.7594459361149305e-13,29,1,3,2,32,33,0
"(7,59)-(7,64)",0.044943109969608486,43,2,1,7,5,45,1
"(7,60)-(7,63)",0.08113033254630864,2,24,4,1,50,3,0
