SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(3,3)-(12,28)",9.011013805866241,9,8,37,3,12,41,0
"(3,19)-(11,63)",4.310586998457211e-07,26,8,13,40,22,9,0
"(4,5)-(11,63)",0.0002675008545338642,9,41,21,1,8,3,0
"(5,13)-(5,17)",6.2712661921978,2,4,1,7,29,9,0
"(7,9)-(11,63)",0.0005959383543086005,36,30,13,14,12,3,0
"(8,9)-(11,63)",0.06208237027749419,3,14,13,21,12,2,0
"(9,9)-(11,63)",17.3146054148674,3,13,2,14,37,41,9
"(10,14)-(10,23)",0.002523641705920454,3,1,2,45,30,43,0
"(11,14)-(11,63)",2.887556860287077e-07,12,3,2,30,8,15,0
"(11,27)-(11,37)",1.7336855711032062e-16,1,4,2,9,3,24,0
"(11,41)-(11,47)",1.4719660388817345e-16,1,2,4,9,33,10,0
"(11,41)-(11,62)",9.77513556210674e-10,3,2,9,4,14,12,0
"(11,48)-(11,62)",6.041470627807591e-12,12,2,1,9,4,6,0
"(11,49)-(11,54)",8.362007086759604e-07,1,2,4,31,24,40,0
"(12,3)-(12,11)",5.381870948895084e-07,10,2,33,1,9,34,0
"(12,3)-(12,28)",10.215730965137482,3,8,9,28,22,19,0
"(12,12)-(12,28)",8.785119652748108,43,27,13,19,14,3,0
"(12,13)-(12,19)",2.7594459361149305e-13,29,1,3,2,32,33,0
