SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(2,15)-(2,77)",9.561129659414291,8,9,2,3,33,4,0
"(2,21)-(2,32)",4.695048603370333e-10,33,3,1,2,8,19,0
"(2,23)-(2,32)",0.3473937511444092,33,1,2,17,14,26,0
"(2,25)-(2,32)",99.57169890403748,10,2,17,1,26,31,17
"(2,29)-(2,30)",1.245645064045398e-14,1,10,2,9,19,33,0
"(2,29)-(2,32)",70.94649076461792,26,17,2,1,10,3,0
"(2,31)-(2,32)",3.8711568672855634e-10,2,1,10,19,9,7,0
"(2,53)-(2,67)",5.822953674794462e-07,1,9,2,10,12,33,0
"(2,53)-(2,77)",2.604294940829277,9,14,2,1,33,3,0
"(2,68)-(2,69)",2.7594459361149305e-13,29,1,3,2,32,33,0
