SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(3,26)-(3,48)",8.785119652748108,43,27,13,19,14,3,0
"(3,27)-(3,38)",2.7594459361149305e-13,29,1,3,2,32,33,0
"(6,3)-(6,64)",32.08444118499756,8,3,1,4,24,14,0
"(6,50)-(6,64)",0.013202296395320445,3,35,1,4,10,12,0
"(6,51)-(6,58)",5.890862464497104e-07,2,1,14,33,29,10,0
"(6,59)-(6,63)",53.88001799583435,2,1,14,29,33,10,0
"(9,3)-(13,56)",9.3336321413517,8,2,9,3,33,14,0
"(9,11)-(9,22)",73.50743412971497,1,29,2,7,4,9,2
"(10,3)-(13,56)",27.07192599773407,8,3,1,14,24,19,0
"(10,9)-(10,10)",89.93974328041077,2,10,1,3,12,32,0
"(13,44)-(13,55)",0.0005849728495377349,24,1,3,2,14,4,0
"(13,45)-(13,52)",7.379428494189012e-19,33,2,1,14,9,10,0
"(13,53)-(13,54)",53.88001799583435,2,1,14,29,33,10,0
