SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(5,13)-(5,64)",40.324604511260986,33,26,2,1,42,17,0
"(5,17)-(5,64)",0.16550415894016623,8,3,14,2,1,35,0
"(5,23)-(5,34)",3.068330300948219e-06,29,2,10,1,32,33,0
"(5,23)-(5,36)",15.247616171836853,43,21,8,2,1,29,0
"(5,63)-(5,64)",35.85655391216278,29,7,2,1,14,24,0
"(7,18)-(7,65)",0.7181388325989246,8,1,3,35,18,17,0
"(7,24)-(7,35)",3.068330300948219e-06,29,2,10,1,32,33,0
"(7,24)-(7,37)",15.247616171836853,43,21,8,2,1,29,0
"(7,51)-(7,53)",0.2816674765199423,7,4,21,8,1,2,0
"(7,64)-(7,65)",35.85655391216278,29,7,2,1,14,24,0
"(9,13)-(12,7)",9.115212051234655e-15,26,8,22,9,40,3,0
"(10,3)-(12,7)",0.3883321536704898,21,11,9,13,8,12,0
"(11,44)-(11,51)",17.69142895936966,2,1,3,19,43,7,0
"(11,44)-(11,67)",0.06633077864535153,32,13,30,2,44,14,0
"(11,45)-(11,50)",1.787526715815252e-14,29,1,3,2,14,24,0
"(11,55)-(11,67)",10.268577188253403,2,3,19,1,24,27,0
"(11,56)-(11,58)",1.787526715815252e-14,29,1,3,2,14,24,0
"(12,3)-(12,5)",3.068330300948219e-06,29,2,10,1,32,33,0
"(12,3)-(12,7)",15.247616171836853,43,21,8,2,1,29,0
"(17,38)-(17,48)",1.4719660388817345e-16,1,2,4,9,33,10,0
"(17,38)-(17,60)",0.00011518511655594921,3,14,2,9,1,15,0
"(17,49)-(17,60)",0.008205802441807464,2,1,4,9,3,12,0
"(17,50)-(17,57)",8.330450773641473e-08,2,1,33,3,9,30,0
"(20,47)-(20,57)",4.3966990015105803e-13,1,10,2,33,9,34,0
"(20,47)-(20,69)",19.2786306142807,2,3,4,6,14,8,0
"(20,58)-(20,69)",0.0024314820620929822,3,1,2,10,24,35,1
"(20,59)-(20,66)",8.330450773641473e-08,2,1,33,3,9,30,0
