SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(4,13)-(9,76)",7.838491732825296e-23,22,8,40,13,26,9,0
"(9,23)-(9,57)",50.03969669342041,14,27,1,2,3,13,0
"(9,24)-(9,35)",1.0813002715437392e-07,1,2,29,33,4,32,0
"(9,54)-(9,56)",51.79629325866699,29,1,2,4,3,21,0
"(14,12)-(23,35)",4.904620034992782e-24,22,13,40,8,37,9,0
"(23,19)-(23,34)",0.27820479590445757,2,5,3,12,1,36,0
"(23,20)-(23,27)",3.3328969806234454e-06,1,43,2,29,27,33,0
"(23,28)-(23,30)",18.648625910282135,27,43,28,1,2,3,0
"(26,26)-(26,32)",3.068330300948219e-06,29,2,10,1,32,33,0
"(26,26)-(26,57)",37.53113150596619,14,28,13,3,43,27,0
"(26,33)-(26,34)",45.72531878948212,29,21,2,10,43,7,0
"(26,35)-(26,57)",20.502738654613495,27,43,19,13,14,3,0
"(26,36)-(26,46)",2.7594459361149305e-13,29,1,3,2,32,33,0
"(26,55)-(26,56)",12.445085495710373,29,3,1,43,21,14,0
"(29,3)-(35,76)",0.5391063168644905,8,9,13,12,37,40,0
"(29,9)-(33,60)",3.64979407807553e-08,26,9,13,1,40,8,0
"(30,5)-(33,60)",0.0003559869810487726,20,11,1,12,30,47,0
"(30,23)-(30,24)",51.69728994369507,49,15,12,2,16,18,0
"(32,24)-(32,49)",0.33686032984405756,1,14,2,36,3,43,2
"(32,25)-(32,28)",0.010587689030217007,1,4,21,29,7,3,0
"(32,31)-(32,48)",99.85106587409973,1,4,3,35,6,31,0
"(32,32)-(32,42)",3.50144997428325e-14,1,2,4,10,9,29,0
"(32,46)-(32,47)",0.008964274456957355,2,1,6,14,4,10,0
"(33,24)-(33,59)",0.3605942474678159,27,14,24,3,46,22,0
"(33,25)-(33,35)",8.396778226836013e-16,1,29,4,2,21,9,0
"(33,55)-(33,58)",51.79629325866699,29,1,2,4,3,21,0
"(34,3)-(35,76)",0.0030091930966591462,2,14,3,28,8,12,0
"(34,14)-(34,21)",3.3072766747466176e-09,12,2,1,9,3,14,0
"(34,18)-(34,20)",4.8666657509466305e-09,4,7,1,2,21,24,0
"(35,43)-(35,57)",8.984588086605072,1,2,9,4,12,8,0
"(35,43)-(35,69)",2.048243209719658,14,12,3,2,6,15,0
"(35,58)-(35,59)",3.3328969806234454e-06,1,43,2,29,27,33,0
"(35,60)-(35,64)",7.188742490171762e-07,2,14,12,49,15,1,0
