SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(15,3)-(25,38)",0.31721671111881733,8,9,13,12,37,40,0
"(15,12)-(24,52)",3.987231755159769e-12,26,13,9,40,12,37,0
"(16,5)-(24,52)",33.703452348709106,9,3,37,21,41,8,0
"(16,11)-(21,77)",0.032223519519902766,26,2,9,1,13,3,0
"(19,11)-(21,77)",0.039087634650059044,18,49,16,15,11,12,0
"(19,18)-(19,19)",20.062626898288727,36,15,16,12,5,32,0
"(21,63)-(21,75)",45.86748480796814,14,2,1,43,6,25,0
"(21,68)-(21,69)",1.0813002715437392e-07,1,2,29,33,4,32,0
"(21,70)-(21,74)",51.79629325866699,29,1,2,4,3,21,0
"(22,5)-(24,52)",0.02455290814395994,2,30,3,12,47,14,0
"(23,5)-(24,52)",0.0006532265160785755,14,3,2,8,9,12,0
"(24,5)-(24,52)",67.9443359375,30,2,3,8,12,9,0
"(24,19)-(24,33)",8.984586596488953,1,2,9,4,12,8,0
"(24,19)-(24,45)",2.0482435822486877,14,12,3,2,6,15,0
"(24,34)-(24,35)",3.3328969806234454e-06,1,43,2,29,27,33,0
"(24,49)-(24,52)",0.0007064224064379232,9,1,10,2,34,33,0
"(25,14)-(25,38)",21.117517352104187,27,13,43,19,3,14,9
"(25,15)-(25,18)",2.7594459361149305e-13,29,1,3,2,32,33,0
