SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(3,3)-(3,68)",10.988762974739075,8,9,2,3,4,33,0
"(3,9)-(3,22)",0.0011096351954620332,33,17,26,1,2,8,0
"(3,11)-(3,22)",40.479594469070435,17,1,26,33,2,8,0
"(3,13)-(3,22)",63.9847993850708,17,1,26,33,2,10,17
"(3,17)-(3,18)",1.245645064045398e-14,1,10,2,9,19,33,0
"(3,17)-(3,22)",92.50677824020386,3,1,2,26,17,10,0
"(3,21)-(3,22)",3.8711568672855634e-10,2,1,10,19,9,7,0
"(3,44)-(3,58)",5.822953674794462e-07,1,9,2,10,12,33,0
"(3,44)-(3,68)",2.604294940829277,9,14,2,1,33,3,0
"(3,59)-(3,60)",11.263401061296463,1,10,2,29,17,26,0
