SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(15,37)-(15,76)",5.822799354791641,2,7,13,28,14,8,0
"(15,51)-(15,61)",2.7594459361149305e-13,29,1,3,2,32,33,0
"(15,51)-(15,63)",32.218581438064575,43,5,27,13,21,1,0
"(15,69)-(15,76)",8.785121887922287,43,27,13,19,14,3,0
"(15,73)-(15,74)",2.7594459361149305e-13,29,1,3,2,32,33,0
"(17,12)-(26,35)",5.716565598750406e-24,22,13,40,8,37,9,0
"(17,15)-(26,35)",5.497506062177595e-31,8,22,9,13,40,37,0
"(18,3)-(26,35)",4.049651447513014e-08,13,12,8,40,22,9,0
"(26,3)-(26,13)",3.068330300948219e-06,29,2,10,1,32,33,0
"(26,3)-(26,35)",0.007803829066688195,3,19,28,21,14,13,0
"(29,3)-(31,71)",0.0011411935702199116,8,2,42,9,1,37,0
"(30,8)-(30,9)",99.99940395355225,21,7,29,35,4,27,7
"(31,8)-(31,71)",7.037312954594199e-07,19,28,25,21,2,3,0
"(31,35)-(31,41)",5.890862464497104e-07,2,1,14,33,29,10,0
"(31,35)-(31,70)",0.0049612899601925164,3,14,28,21,15,9,0
