SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(2,44)-(2,45)",31.151461601257324,4,1,22,2,27,24,0
"(2,44)-(2,66)",0.7948341779410839,14,43,2,3,28,7,0
"(2,49)-(2,66)",31.10087811946869,3,19,27,2,1,24,0
"(2,50)-(2,55)",1.787526715815252e-14,29,1,3,2,14,24,0
"(2,56)-(2,57)",0.001442016309738392,24,1,3,29,2,4,0
"(4,13)-(13,18)",6.081725613991719e-24,22,13,40,8,37,9,0
"(7,53)-(7,71)",50.009334087371826,14,27,2,1,3,6,0
"(7,54)-(7,65)",0.8463283069431782,6,43,2,14,3,1,0
"(7,55)-(7,60)",2.6731161771945122e-11,1,2,33,4,9,29,0
"(7,61)-(7,62)",3.3040862153753143e-13,4,1,21,35,2,22,0
"(7,66)-(7,67)",1.0813002715437392e-07,1,2,29,33,4,32,0
"(7,68)-(7,70)",51.79629325866699,29,1,2,4,3,21,0
"(16,3)-(16,69)",9.116643440165717e-06,8,1,46,33,4,9,0
"(16,9)-(16,10)",35.85655391216278,29,7,2,1,14,24,0
"(16,36)-(16,69)",0.045159683213569224,2,7,19,43,27,1,0
"(16,50)-(16,60)",2.7594459361149305e-13,29,1,3,2,32,33,0
"(16,50)-(16,62)",32.218581438064575,43,5,27,13,21,1,0
"(16,68)-(16,69)",45.72531878948212,29,21,2,10,43,7,0
"(22,12)-(33,35)",4.904620034992782e-24,22,13,40,8,37,9,0
"(22,15)-(33,35)",7.409451664551877e-31,8,22,9,40,13,37,0
"(23,3)-(33,35)",3.839277229467086e-08,13,12,8,40,22,9,0
"(33,3)-(33,13)",8.262067245634608e-10,10,2,1,35,26,9,0
"(33,3)-(33,35)",0.007803829066688195,3,19,28,21,14,13,0
"(33,19)-(33,34)",0.27820479590445757,2,5,3,12,1,36,0
"(33,20)-(33,27)",3.3328969806234454e-06,1,43,2,29,27,33,0
"(33,28)-(33,30)",18.648625910282135,27,43,28,1,2,3,0
"(35,20)-(38,65)",2.0878021533832225e-07,8,37,9,3,22,38,0
"(36,3)-(38,65)",6.069922786622328e-07,8,9,42,1,2,37,0
"(36,6)-(36,7)",1.2938515148164242e-06,2,1,4,9,7,24,0
"(36,6)-(36,11)",1.323815426582716e-12,2,50,3,16,21,7,0
"(36,10)-(36,11)",1.860924147287338e-16,7,4,1,2,21,35,0
"(37,8)-(37,9)",99.99940395355225,21,7,29,35,4,27,21
"(38,8)-(38,65)",3.598210840394245e-07,7,42,1,2,19,49,0
"(38,22)-(38,23)",45.72531878948212,29,21,2,10,43,7,0
"(38,29)-(38,35)",5.890862464497104e-07,2,1,14,33,29,10,0
"(38,29)-(38,65)",0.00021262314930936554,3,14,28,21,15,9,0
"(38,36)-(38,39)",0.044943109969608486,43,2,1,7,5,45,1
"(38,37)-(38,38)",0.08113033254630864,2,24,4,1,50,3,0
"(38,41)-(38,51)",5.361519672783706e-12,1,29,10,32,2,35,0
"(38,41)-(38,64)",30.49863576889038,50,3,24,2,22,27,0
"(38,52)-(38,64)",4.931253556605952e-05,4,1,3,9,2,6,0
