SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(2,13)-(5,7)",9.115212051234655e-15,26,8,22,9,40,3,0
"(4,13)-(4,30)",2.8796789952600932e-08,1,2,4,7,9,24,0
"(4,14)-(4,27)",9.385458989846773e-11,1,10,35,2,32,3,0
"(4,28)-(4,29)",1.3516222807652412e-06,1,2,14,6,3,35,0
"(7,20)-(7,63)",0.826588086783886,8,3,1,24,2,14,0
"(7,26)-(7,33)",3.068330300948219e-06,29,2,10,1,32,33,0
"(7,26)-(7,35)",15.247616171836853,43,21,8,2,1,29,0
"(7,34)-(7,35)",0.004658928082790226,2,16,5,1,10,21,0
"(7,49)-(7,51)",80.0852119922638,4,1,6,8,2,14,4
"(7,62)-(7,63)",35.85655391216278,29,7,2,1,14,24,2
