SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(14,7)-(14,33)",0.09046867489814758,3,33,1,2,9,24,0
"(18,5)-(20,75)",48.135486245155334,21,14,3,9,8,2,0
"(18,11)-(18,22)",1.4151400625601277e-14,3,1,2,14,17,33,0
"(18,17)-(18,22)",85.35316586494446,20,10,1,11,2,16,9
"(18,21)-(18,22)",44.23443675041199,29,7,1,21,2,3,0
"(19,5)-(20,75)",0.003978420136263594,30,2,3,28,36,14,0
"(19,16)-(19,17)",44.616058468818665,2,29,16,24,1,9,7
"(20,42)-(20,56)",3.3328969806234454e-06,1,43,2,29,27,33,0
"(20,42)-(20,68)",2.2933926433324814,2,3,36,5,6,30,0
"(20,57)-(20,58)",3.3328969806234454e-06,1,43,2,29,27,33,0
"(20,59)-(20,63)",31.151461601257324,4,1,22,2,27,24,0
