SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(3,55)-(3,77)",70.47123312950134,2,13,7,14,3,1,0
"(3,60)-(3,77)",31.10087811946869,3,19,27,2,1,24,0
"(3,61)-(3,66)",1.787526715815252e-14,29,1,3,2,14,24,0
"(8,24)-(8,35)",49.12688434123993,14,6,2,15,1,4,0
"(8,24)-(8,40)",78.83206009864807,36,15,3,14,16,1,15
"(8,25)-(8,30)",1.4844764306687352e-08,1,2,4,33,6,29,0
"(8,36)-(8,37)",7.149225211833254e-07,1,2,29,21,33,4,0
"(8,46)-(8,57)",49.12688434123993,14,6,2,15,1,4,0
"(8,46)-(8,62)",78.83206009864807,36,15,3,14,16,1,15
"(8,47)-(8,52)",1.4844764306687352e-08,1,2,4,33,6,29,0
"(8,58)-(8,59)",7.149225211833254e-07,1,2,29,21,33,4,0
