SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(7,21)-(7,69)",45.21452784538269,2,13,14,7,3,1,0
"(7,24)-(7,32)",9.619208370375415e-12,1,2,4,9,7,29,0
"(7,24)-(7,39)",0.2136340131983161,2,3,30,24,50,1,0
"(7,33)-(7,34)",84.48951840400696,1,24,2,4,3,7,0
"(7,35)-(7,39)",55.269938707351685,1,2,7,4,43,3,0
"(7,45)-(7,51)",0.044943109969608486,43,2,1,7,5,45,1
"(7,46)-(7,50)",0.00012319985671638278,24,3,1,2,29,14,0
"(7,57)-(7,63)",0.044943109969608486,43,2,1,7,5,45,1
"(7,57)-(7,69)",67.20231175422668,3,27,2,14,30,13,0
"(7,58)-(7,62)",0.00012319985671638278,24,3,1,2,29,14,0
"(7,64)-(7,65)",2.7594459361149305e-13,29,1,3,2,32,33,0
"(7,66)-(7,69)",0.044943109969608486,43,2,1,7,5,45,0
"(7,67)-(7,68)",12.445085495710373,29,3,1,43,21,14,0
