SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(14,5)-(20,52)",1.475387066602707,21,13,3,9,41,37,0
"(14,11)-(17,45)",1.0372215812174708e-19,26,13,11,33,1,2,0
"(16,12)-(16,50)",1.2932672177612403e-05,9,14,25,3,50,1,0
"(16,12)-(16,54)",4.1665107475274965e-08,16,15,32,19,36,28,11
"(16,53)-(16,54)",44.82160806655884,10,2,1,26,9,12,0
"(17,12)-(17,41)",0.00012553010719784652,9,14,3,25,50,1,0
"(17,12)-(17,45)",2.3637811152887878e-08,16,32,19,15,28,7,11
"(18,5)-(20,52)",0.0003062996938751894,30,36,2,18,14,3,0
"(18,16)-(18,22)",0.05345573299564421,2,4,50,45,1,7,0
"(20,19)-(20,33)",3.3328969806234454e-06,1,43,2,29,27,33,0
"(20,19)-(20,45)",2.2933926433324814,2,3,36,5,6,30,0
"(20,34)-(20,35)",5.39227906770634e-07,2,14,1,33,29,24,0
"(20,36)-(20,40)",37.71340847015381,1,4,35,10,3,2,0
