SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(2,12)-(2,51)",73.79388213157654,26,33,42,2,8,9,0
"(2,14)-(2,51)",8.971191197633743,33,26,17,42,8,2,0
"(2,18)-(2,51)",0.016260860138572752,33,2,1,19,34,17,0
"(2,46)-(2,51)",5.93572441217895e-16,7,2,21,1,4,29,0
"(5,17)-(5,18)",34.262314438819885,33,2,8,1,10,9,0
"(5,17)-(5,20)",6.417530030012131,6,2,43,9,8,1,0
"(5,42)-(5,48)",5.822953674794462e-07,1,9,2,10,12,33,0
"(5,42)-(5,56)",2.604294940829277,9,14,2,1,33,3,0
"(5,49)-(5,56)",7.420243832712003e-05,2,12,1,9,30,8,0
"(5,50)-(5,51)",8.984586596488953,1,2,9,4,12,8,0
"(7,22)-(7,28)",1.1274311342233381e-13,1,29,2,9,33,10,0
"(7,22)-(7,46)",66.41162633895874,8,2,4,3,23,9,0
"(7,29)-(7,46)",61.85694336891174,8,2,3,12,1,33,0
"(7,30)-(7,42)",98.22659492492676,33,1,2,10,8,17,2
"(7,31)-(7,37)",26.99844539165497,1,29,2,9,33,34,0
