SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(2,15)-(2,76)",9.561129659414291,8,9,2,3,33,4,0
"(2,21)-(2,32)",1.9251782112927884e-08,1,2,3,33,26,19,0
"(2,27)-(2,32)",99.99804496765137,31,10,40,17,26,2,17
"(2,29)-(2,30)",1.8994030881458457e-05,29,1,7,2,10,21,0
"(2,31)-(2,32)",28.26184332370758,2,29,21,7,1,14,0
"(2,36)-(2,76)",0.0005329543910193024,2,3,8,1,14,9,0
"(2,47)-(2,48)",99.994957447052,35,7,21,5,10,16,10
"(2,52)-(2,66)",5.822953674794462e-07,1,9,2,10,12,33,0
"(2,52)-(2,76)",2.604294940829277,9,14,2,1,33,3,0
"(2,67)-(2,68)",5.890862464497104e-07,2,1,14,33,29,10,0
"(2,69)-(2,73)",12.445085495710373,29,3,1,43,21,14,0
