SourceSpan,Loc-Conf,P-1,P-2,P-3,P-4,P-5,P-6,Actual
"(19,19)-(19,43)",1.3459925396475114e-07,25,9,14,1,2,19,0
"(19,26)-(19,42)",4.959604889154434,3,9,2,14,4,35,0
"(19,27)-(19,31)",2.3599846521449308e-07,1,9,12,2,34,10,0
"(33,7)-(36,64)",35.78445613384247,40,12,13,38,9,22,0
"(34,9)-(35,69)",99.99501705169678,38,40,41,22,37,3,40
"(34,10)-(34,47)",0.00026747227366286097,26,9,25,50,21,38,0
"(34,11)-(34,27)",80.23664355278015,3,14,24,27,28,50,0
"(34,12)-(34,16)",5.890862464497104e-07,2,1,14,33,29,10,0
"(34,30)-(34,46)",80.23664355278015,3,14,24,27,28,50,0
"(34,31)-(34,35)",5.890862464497104e-07,2,1,14,33,29,10,0
"(35,12)-(35,49)",6.578136924062505e-08,40,28,38,3,50,21,0
"(35,13)-(35,29)",80.23664355278015,3,14,24,27,28,50,0
"(35,14)-(35,18)",5.890862464497104e-07,2,1,14,33,29,10,0
"(35,32)-(35,48)",80.23664355278015,3,14,24,27,28,50,0
"(35,33)-(35,37)",5.890862464497104e-07,2,1,14,33,29,10,0
"(36,10)-(36,11)",0.4242169205099344,1,2,14,4,9,24,0
"(36,10)-(36,17)",9.996965673053637e-05,15,3,12,1,9,2,0
"(36,14)-(36,17)",1.491017911133956e-22,4,1,2,7,9,24,0
"(36,32)-(36,64)",4.453665383152838e-05,9,2,3,14,1,25,0
"(36,35)-(36,36)",0.4242169205099344,1,2,14,4,9,24,0
"(36,35)-(36,45)",97.37443327903748,14,25,9,15,2,3,0
"(36,39)-(36,45)",0.020337983733043075,1,2,24,14,9,4,0
"(36,41)-(36,44)",3.8767726008581693e-10,4,1,10,2,31,9,0
"(36,51)-(36,57)",65.54936170578003,14,10,1,9,2,31,0
"(36,53)-(36,56)",6.092087012805891e-11,4,1,2,7,10,9,0
"(36,63)-(36,64)",85.13818383216858,9,1,2,12,4,34,0
